c #vertices #edges weightDimension idOffset
mincutGraph 9 8 2 1145
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 3731 0.0 3.2564227120113713
t 3731 3.3138402739704955 0.0
3731 11892 0.0 2.4911535478498554
3731 5615 0.0 2.730275083762623
t 1076 18.575259746093316 0.0
1076 5689 0.0 8.525508287520307
1076 11068 0.0 4.357572389766381
1076 12254 0.0 9.574431104080059
s 11892 0.0 3.398386472374602
t 11892 1.3629075671945443 0.0
s 5689 0.0 4.142562300101227
t 5689 12.664076300725387 0.0
s 1643 0.0 3.082122934848816
t 1643 4.1866894695525145 0.0
1643 11068 0.0 4.112599588840524
1643 4847 0.0 2.716762298861835
s 11068 0.0 0.31789246543593913
t 11068 0.4286972640470404 0.0
s 12254 0.0 12.135615218095914
t 12254 12.700275103048458 0.0
s 4847 0.0 2.9134289812443606
t 4847 0.2704513903948407 0.0
s 5615 0.0 4.219661715634151
t 5615 4.294063200906036 0.0
5615 5689 0.0 6.373289890796893
