c #vertices #edges weightDimension idOffset
mincutGraph 18743 20267 2 1542
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 0 0.0 0.07703772465315385
t 0 1.8553102854435508 0.0
0 18067 0.0 61.740042622378574
0 9787 0.0 61.78826640915893
s 1 0.0 3.326940241727593
t 1 17.889991737577724 0.0
1 6730 0.0 11.468941577627616
1 5134 0.0 10.774693625467346
s 2 0.0 12.249511138690787
t 2 81.3607269320431 0.0
2 17127 0.0 22.24690524044377
2 13816 0.0 32.8963978942497
s 3 0.0 3.909908763376919
t 3 21.157863417974568 0.0
3 16379 0.0 12.97742695221084
3 17420 0.0 15.482260739104145
s 4 0.0 8.283635242072204
t 4 8.573782696599938 0.0
4 14013 0.0 5.850965115120619
s 5 0.0 9.081604177062902
t 5 71.87900693813813 0.0
5 6825 0.0 16.77221273213747
5 8908 0.0 21.551613583910687
t 6 30.392309713352887 0.0
6 4000 0.0 8.91912459527092
6 11025 0.0 8.528080874444974
6 12203 0.0 7.799239842885432
s 7 0.0 6.516648503387195
t 7 2.7633191330203415 0.0
7 15393 0.0 5.589484442555963
t 8 105.43168970497705 0.0
8 9350 0.0 23.630719787926022
8 7608 0.0 14.626976821702094
8 11822 0.0 14.986940355543581
s 9 0.0 6.508500464505101
t 9 5.102261563776526 0.0
9 16438 0.0 4.667526851218536
s 10 0.0 4.996164180082286
t 10 6.311527524424252 0.0
10 2884 0.0 2.9839748708926472
10 7948 0.0 4.2428024398504975
s 11 0.0 5.815937234331074
t 11 68.61812750611077 0.0
11 15196 0.0 31.441999817593082
11 11215 0.0 35.554642905165046
t 12 195.35779009913796 0.0
12 10080 0.0 24.308246458696598
12 538 0.0 54.87971470122447
12 4221 0.0 32.42860215325821
t 13 498.84003355757795 0.0
13 2258 0.0 41.31184788494368
13 2810 0.0 24.957943921850273
13 4970 0.0 42.53374070308134
t 14 9.896652315685671 0.0
14 8901 0.0 8.378732430425867
14 10998 0.0 10.158082365098055
14 7387 0.0 2.7987718246262343
t 15 57.90145894539946 0.0
15 1556 0.0 19.464615221165264
15 18261 0.0 6.085246506762955
15 7659 0.0 19.13444830309134
s 16 0.0 12.223229020399831
t 16 13.737491471537272 0.0
