c #vertices #edges weightDimension idOffset
mincutGraph 6 5 2 4822
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 15030 0.0 6.673503249756827
t 15030 4.84621759765156 0.0
15030 25322 0.0 5.019712246049097
t 6151 3.5926038617923437 0.0
6151 19559 0.0 3.920966154746267
6151 25322 0.0 2.1367395218259495
6151 65598 0.0 3.364846325201718
s 19559 0.0 5.312552183150695
t 19559 3.238724621090118 0.0
s 25322 0.0 4.618356976950605
t 25322 4.931031894653604 0.0
s 60030 0.0 5.899846684148004
t 60030 4.254773637698838 0.0
60030 65598 0.0 4.227315080603125
s 65598 0.0 2.774236244799258
t 65598 4.658601244564144 0.0
