c #vertices #edges weightDimension idOffset
mincutGraph 8 7 2 817
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 5584 0.0 4.192301437668519
t 5584 7.513015689421983 0.0
5584 8982 0.0 3.961042584358989
5584 10918 0.0 4.373422273832004
s 10512 0.0 7.147992206398751
t 10512 6.370601954523878 0.0
s 8982 0.0 4.771065904278966
t 8982 8.735631117758127 0.0
s 10918 0.0 4.771065905051038
t 10918 8.24953540853364 0.0
s 906 0.0 0.909404404932833
t 906 0.01053729960586145 0.0
906 9420 0.0 0.8947486488557977
s 7322 0.0 5.65019168638605
t 7322 3.8824272251545024 0.0
7322 10918 0.0 4.042599906395227
s 9420 0.0 1.143926506431034
t 9420 0.40892745372739475 0.0
t 15 2.2954662526173655 0.0
15 10512 0.0 4.950959724804569
15 8982 0.0 4.903467669594862
15 9420 0.0 0.9371968732226404
