c #vertices #edges weightDimension idOffset
mincutGraph 25150 28603 2 3485
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 0 0.0 9.129392521407807
t 0 66.17667913305954 0.0
0 20637 0.0 14.527510565139822
0 12367 0.0 16.653920350848086
s 1 0.0 9.825019078154897
t 1 61.15586314004577 0.0
1 9024 0.0 18.157655674006104
1 24699 0.0 12.903174937342344
s 2 0.0 11.152459823069231
t 2 132.39954567184355 0.0
2 9652 0.0 27.03847522132672
2 7517 0.0 23.810401163492102
s 3 0.0 9.32979853458467
t 3 41.57256050812562 0.0
3 22853 0.0 9.675747556336175
3 23414 0.0 10.504754218206642
t 4 116.81700226269217 0.0
4 13525 0.0 23.85132187377652
4 18357 0.0 9.797502035714029
4 18059 0.0 25.59824292871654
t 5 202.82957288751814 0.0
5 21472 0.0 39.40940851317525
5 7197 0.0 12.374365265156085
5 10079 0.0 34.13059762571831
t 6 251.90915472218293 0.0
6 22136 0.0 32.32584066473573
6 18121 0.0 32.078201217499426
6 10795 0.0 16.164831022831155
t 7 161.06393474567363 0.0
7 4723 0.0 45.908908784377594
7 23815 0.0 11.368026729044239
7 23579 0.0 37.62479344509986
s 8 0.0 4.3756367515908625
t 8 211.72197358880703 0.0
8 805 0.0 98.5307638719036
8 3996 0.0 97.80243414765421
t 9 757.4235042495227 0.0
9 13376 0.0 79.81549161730668
9 15654 0.0 18.983974753032804
9 23150 0.0 82.4482476713614
s 10 0.0 8.527661046725191
t 10 52.35464884285425 0.0
10 18592 0.0 12.32808158233749
10 17598 0.0 14.34983673105597
t 11 614.2388302642228 0.0
11 24289 0.0 29.662817214132016
11 3893 0.0 41.9680631025448
11 13532 0.0 47.30994679249869
s 12 0.0 11.67705016103418
t 12 151.89915454025422 0.0
12 23235 0.0 26.02177106302259
12 11205 0.0 28.31057789522011
s 13 0.0 8.15441954214554
t 13 34.755323911281664 0.0
13 9619 0.0 8.96141976412939
13 22090 0.0 10.085273691456091
s 14 0.0 7.667225363939558
t 14 66.68663916111252 0.0
14 18560 0.0 19.76750157728234
14 8813 0.0 17.48028194341951
s 15 0.0 8.987081397722688
t 15 7.741140093123846 0.0
15 24153 0.0 6.707956839520918
15 13978 0.0 15.565676167148666
s 16 0.0 7.404834005801442
t 16 59.20156853079534 0.0
16 17466 0.0 16.754200784372973
16 23755 0.0 16.16945232697047
s 17 0.0 14.009746675263314
t 17 68.39057796819769 0.0
17 594 0.0 39.97674671038331
17 25138 0.0 26.612100592423072
t 18 149.67107747267121 0.0
18 15779 0.0 17.27988724307331
18 14261 0.0 22.229235435959815
18 19642 0.0 17.644060281415655
s 19 0.0 9.585543808933494
t 19 146.94806851890567 0.0
19 6854 0.0 31.240428151619213
19 3274 0.0 30.870192362340354
t 20 232.08919996299704 0.0
20 9509 0.0 56.90667017421049
20 14534 0.0 8.162667339286314
20 3660 0.0 57.79365861285155
s 21 0.0 6.564195571257526
t 21 92.35672625238571 0.0
21 11098 0.0 31.289604055996683
21 9487 0.0 29.0258729746683
t 22 100.29932624638582 0.0
22 1733 0.0 29.174379894701534
22 12414 0.0 7.754124058175738
22 15631 0.0 26.49746713925931
t 23 55.688794662264655 0.0
23 8705 0.0 11.235743294926849
23 23130 0.0 13.7335065464508
23 20365 0.0 10.06274270516945
t 24 402.81627127543356 0.0
24 15761 0.0 78.087944556171
24 842 0.0 67.2624987425544
24 9183 0.0 15.540170096658107
s 25 0.0 19.149860581729794
t 25 690.8311670902619 0.0
25 18809 0.0 95.88158980743856
25 16429 0.0 84.50709658364164
s 26 0.0 17.23585340940215
t 26 132.75979641246167 0.0
26 20180 0.0 17.64157585953192
26 20330 0.0 17.66198149089021
s 27 0.0 11.761942343805991
t 27 34.61609589912174 0.0
27 20829 0.0 10.611064728100207
27 17118 0.0 6.576437086533139
s 28 0.0 17.141733817391476
