c #vertices #edges weightDimension idOffset
mincutGraph 6 5 2 1129
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 336 0.0 5.047000987165887
t 336 2.7825554428435773 0.0
336 17359 0.0 3.769142144970541
s 17218 0.0 4.930971294984843
t 17218 6.647107526940788 0.0
17218 17389 0.0 5.751617481043936
s 16324 0.0 1.0392185869830912
t 16324 1.3999775230502367 0.0
16324 17218 0.0 2.7002122555845918
s 14393 0.0 3.577676687071072
t 14393 1.1897108455313448 0.0
14393 16324 0.0 2.8283542162886643
s 17389 0.0 6.109466560441672
t 17389 15.515786049340033 0.0
s 17359 0.0 3.4541121267204495
t 17359 5.865072054091555 0.0
17359 17389 0.0 6.1182663147358864
