c #vertices #edges weightDimension idOffset
mincutGraph 19355 21256 2 1937
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 0 0.0 8.164710395961782
t 0 28.947550345011102 0.0
0 6439 0.0 13.35349929444858
0 13583 0.0 7.759301661719755
t 1 90.09640412608786 0.0
1 1847 0.0 6.4562712461266765
1 12425 0.0 29.22280077316687
1 8282 0.0 27.996706137840313
t 2 33.04728405663752 0.0
2 6182 0.0 6.998146953685516
2 5479 0.0 11.63496666589429
2 18391 0.0 16.716807233540557
s 3 0.0 2.251959707788739E-5
t 3 5.997960467055488E-11 0.0
3 6752 0.0 1.6050353208434096E-5
s 4 0.0 12.214331760459007
t 4 13.969563880605998 0.0
4 10317 0.0 9.665673421313063
t 5 113.36183771346285 0.0
5 17825 0.0 20.94784084302512
5 10616 0.0 15.004715734893287
5 14399 0.0 15.118308671932358
s 6 0.0 14.228834179587963
t 6 25.306966226698734 0.0
6 16585 0.0 10.069026009761478
t 7 80.75750659927931 0.0
7 8387 0.0 27.24623974844832
7 7383 0.0 5.936155168829541
7 6670 0.0 27.579320899897695
s 8 0.0 5.678809433677688
t 8 17.25907061001307 0.0
8 13876 0.0 7.415595925684764
8 16794 0.0 6.244583122717447
s 9 0.0 12.499307735439572
t 9 96.23061421108413 0.0
9 8272 0.0 16.762717449006235
9 5373 0.0 16.4800401909066
s 10 0.0 6.785860637749517
t 10 67.61477863027199 0.0
10 4451 0.0 20.09924820839828
10 12196 0.0 22.03511018432197
t 11 71.4873204977348 0.0
11 9638 0.0 16.984014351346257
11 4295 0.0 12.102613582818977
11 1001 0.0 11.813955266091765
s 12 0.0 4.420970337249049
t 12 2.4062782673754977 0.0
12 646 0.0 5.320573526378459
12 5017 0.0 1.343297226426702
s 13 0.0 2.6967035633475076
t 13 6.721633412092603 0.0
13 13158 0.0 5.273541451849106
13 2319 0.0 5.079804617739534
s 14 0.0 6.247803964203383
t 14 12.878702417010738 0.0
14 5184 0.0 8.116776861011692
14 11962 0.0 4.189237337612508
s 15 0.0 9.213858011623993
t 15 8.299431041663322 0.0
15 7739 0.0 9.386818808844433
15 12702 0.0 18.51403929815382
s 16 0.0 11.456153852815085
t 16 13.4135222070125 0.0
16 18783 0.0 8.819544440119161
t 17 4.1095298136912035 0.0
17 5152 0.0 10.694319985715799
17 1249 0.0 4.484420612534478
17 78 0.0 6.323127274243771
s 18 0.0 10.872238673037677
t 18 8.832933159385659 0.0
18 3397 0.0 9.059695211729766
s 19 0.0 15.795411151431983
t 19 22.909192431393272 0.0
19 7897 0.0 12.555360327720077
s 20 0.0 7.763585552054292
t 20 24.514378453544932 0.0
20 14533 0.0 6.408723844303091
20 17045 0.0 10.875716412309833
s 21 0.0 11.372282634907613
t 21 64.00456196957558 0.0
21 13061 0.0 15.632103984596307
21 6774 0.0 11.268483003347308
t 22 43.324996923828124 0.0
22 7072 0.0 16.63514331525961
22 14156 0.0 5.958743564286305
22 9102 0.0 14.695397269866355
s 23 0.0 12.47233685419418
