c #vertices #edges weightDimension idOffset
mincutGraph 7 6 2 6462
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 45456 0.0 4.451634097552157
t 45456 7.551967966661558 0.0
45456 68539 0.0 4.726108779228931
s 62048 0.0 4.451634097287301
t 62048 10.686265141306132 0.0
s 1956 0.0 2.126652033916155
t 1956 2.7365706994982886 0.0
1956 54505 0.0 2.7913222914351588
1956 39580 0.0 2.7779916936716034
s 48292 0.0 7.584864836596934
t 48292 5.849162728893984 0.0
48292 62048 0.0 5.7800848096752135
s 54505 0.0 3.563052693513054
t 54505 1.441785266153122 0.0
s 68539 0.0 6.559994615013872
t 68539 5.200989824273662 0.0
t 39580 4.880249294787558 0.0
39580 45456 0.0 3.5862311712887354
39580 62048 0.0 4.956866386944503
