c #vertices #edges weightDimension idOffset
mincutGraph 6 5 2 2548
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 9537 0.0 7.2412418727991215
t 9537 5.454835694525458 0.0
t 3971 10.72603106483801 0.0
3971 8597 0.0 7.424223527095064
3971 22408 0.0 4.1702199868448195
s 8597 0.0 7.544065776465311
t 8597 19.21095173786375 0.0
8597 9537 0.0 5.525170553141856
s 22408 0.0 7.633144491018328
t 22408 15.915058027900319 0.0
s 9017 0.0 11.754169274605665
t 9017 15.805857589938558 0.0
9017 22408 0.0 8.65928370856754
s 2765 0.0 6.371381768743943
t 2765 3.1707053938438055 0.0
2765 3971 0.0 5.278389816361821
