c #vertices #edges weightDimension idOffset
mincutGraph 6780 7714 2 953
c u v weight[0] weight[1] ...
s t 0.0 0.0
t 0 130.1153081601077 0.0
0 4146 0.0 11.82365995834613
0 2421 0.0 22.16844297209408
0 621 0.0 23.844069490636645
s 1 0.0 11.371347987466873
t 1 139.93731322832173 0.0
1 2533 0.0 26.73651247095039
1 3784 0.0 24.62972822422092
t 2 258.0704482973033 0.0
2 3122 0.0 25.707488244315147
2 4131 0.0 44.49874072666056
2 1420 0.0 24.479118777888868
s 3 0.0 12.839198358618184
t 3 49.068002198659 0.0
3 18 0.0 8.976520178755287
3 2409 0.0 11.160474468720992
t 4 122.31970295662596 0.0
4 2953 0.0 29.10994158879044
4 202 0.0 11.00266909948321
4 6445 0.0 23.558369714525327
s 5 0.0 5.8213519332232435
t 5 36.54009494440945 0.0
5 5861 0.0 14.516233025468788
5 6358 0.0 12.639262213372279
s 6 0.0 26.237286272717686
t 6 2365.450344869694 502.57316998316105
6 5547 0.0 478.175348696677
s 7 0.0 14.83899623387965
t 7 168.10232964290438 0.0
7 2738 0.0 22.682258770787097
7 142 0.0 27.68655356925381
t 8 4.409726425105254 0.0
8 1026 0.0 8.287192361337674
8 6115 0.0 8.13240436081354
8 5829 0.0 1.0876943527211012
s 9 0.0 11.61516706102876
t 9 466.02147633085247 0.0
9 1622 0.0 102.5326341421731
9 2999 0.0 110.13890762799952
s 10 0.0 7.016323866972393
t 10 21.72392446314595 0.0
10 4631 0.0 10.541441041247886
10 3625 0.0 6.374926764837408
t 11 130.94350866107803 0.0
11 1649 0.0 26.105164761623016
11 6737 0.0 17.159375357457883
11 6220 0.0 15.782493908320895
s 12 0.0 9.048932009116623
t 12 38.11444284744495 0.0
12 343 0.0 12.203240709882937
12 6669 0.0 8.426941740924201
s 13 0.0 6.268859066028055
t 13 7.239375362176278 0.0
13 1011 0.0 2.309630918776785
13 2443 0.0 6.680792540612252
t 14 28.55879111487434 0.0
14 2354 0.0 4.9303270052801915
14 3586 0.0 17.17641593042275
14 4217 0.0 13.938807690666557
s 15 0.0 8.375306087648042
t 15 5.609012281304857 0.0
15 6114 0.0 6.816637055795731
s 16 0.0 10.126594283288423
t 16 82.07048114119021 0.0
16 6252 0.0 20.583143168999268
16 2943 0.0 16.409740159940142
s 17 0.0 19.269848848548197
t 17 164.59190025158972 0.0
17 128 0.0 20.75229732710022
17 3379 0.0 18.651526893630756
s 18 0.0 8.761026546219584
