c #vertices #edges weightDimension idOffset
mincutGraph 24355 26720 2 2386
c u v weight[0] weight[1] ...
s t 0.0 0.0
s 0 0.0 1.3821590630671108
t 0 6.276868195107471 0.0
0 2770 0.0 9.845994517313153
0 679 0.0 10.457597720034432
s 1 0.0 17.0176991590818
t 1 212.19898033073568 0.0
1 12722 0.0 25.21026138450814
1 12021 0.0 28.276130524763023
s 2 0.0 5.728998959963467
t 2 3.8080815878986924 0.0
2 13306 0.0 4.197381600496459
s 3 0.0 2.644031681821833
t 3 2.1846573547131616 0.0
3 19778 0.0 1.7989934679161625
3 2819 0.0 2.543096253673343
s 4 0.0 16.169290659266313
t 4 297.23162072474577 0.0
4 21560 0.0 37.20623433886057
4 3546 0.0 38.22289022084677
s 5 0.0 5.128978644255751
t 5 2.4216852687427335 0.0
5 12290 0.0 4.049115897451949
t 6 33.67250526900959 0.0
6 14518 0.0 3.9822911405039965
6 11848 0.0 19.839121019727315
6 4153 0.0 22.18260826508076
s 7 0.0 22.383839219268296
t 7 24.575821701187206 0.0
7 20937 0.0 20.068381199476004
s 8 0.0 9.39833261374865
t 8 236.4942488129471 0.0
8 9491 0.0 50.43207972782092
8 23412 0.0 50.70027917695465
t 9 739.5362107615093 0.0
9 6849 0.0 59.41737094842477
9 9893 0.0 25.378513579682973
9 18701 0.0 59.8945749002424
s 10 0.0 16.48337847798656
t 10 150.1117171777556 0.0
10 12694 0.0 22.71856715424607
10 8910 0.0 18.443793132910695
s 11 0.0 7.287118456190081
t 11 13.925606279791953 0.0
11 11762 0.0 12.771379505390922
11 6003 0.0 6.213483176524892
s 12 0.0 7.801553163958337
t 12 4.613607991523416 0.0
12 793 0.0 6.503187377428496
s 13 0.0 18.099249304655515
t 13 34.99475749887428 0.0
13 5973 0.0 13.705112031796226
t 14 77.68848949957832 0.0
14 16881 0.0 11.392692495556384
14 13946 0.0 14.806551027142078
14 28 0.0 21.917485045627668
s 15 0.0 8.981837197177592
t 15 122.23082047775718 0.0
15 8225 0.0 33.54853305789163
15 90 0.0 29.220412278633344
t 16 445.5213300784317 0.0
16 22169 0.0 41.63016260164297
16 18714 0.0 48.15041231817352
16 23851 0.0 21.456377221695192
s 17 0.0 1.1221587366701316
t 17 0.02655941131489294 0.0
17 10273 0.0 1.0900849639159682
s 18 0.0 3.6215423280384003
t 18 2.686631396249347 0.0
18 20162 0.0 8.74530825965822
18 16903 0.0 5.212603938938231
t 19 176.54145340672133 0.0
19 10244 0.0 10.658452456640857
19 4649 0.0 33.23386626738164
19 18651 0.0 35.705059938074434
t 20 2736.723049563024 0.0
20 13840 0.0 90.3021339425979
20 17782 0.0 72.60314135346356
20 1055 0.0 78.78800971836822
t 21 57.87509417357174 0.0
21 7360 0.0 21.187263075755922
21 21984 0.0 6.604764041772702
21 21461 0.0 25.49122748936706
s 22 0.0 19.033394696694124
t 22 15.131603262100596 0.0
22 905 0.0 17.36960399667715
s 23 0.0 5.848916664603693
t 23 18.910851425663406 0.0
23 23641 0.0 8.751175881158348
23 156 0.0 13.407782417933726
t 24 104.09596823003393 0.0
24 11333 0.0 19.533221001193947
24 8283 0.0 19.302843713234378
24 19323 0.0 11.199662628043166
s 25 0.0 4.4659630993478885
t 25 8.29738114702407 0.0
25 14738 0.0 4.079984935591066
25 4698 0.0 4.641306063105498
s 26 0.0 9.221220117723204
t 26 8.544135913541494 0.0
26 20905 0.0 7.132370442582872
s 27 0.0 12.848758724498344
t 27 104.59221618752075 0.0
27 15906 0.0 19.613403597280374
27 18118 0.0 16.392311646649002
s 28 0.0 23.906436710939747
t 28 156.90614061056726 0.0
28 16352 0.0 14.583931981522587
t 29 188.26048590601266 0.0
29 15397 0.0 45.59503000903952
29 19690 0.0 42.434917508291996
29 3103 0.0 9.163262137056783
s 30 0.0 11.985066549078182
t 30 240.20183605688993 0.0
30 8119 0.0 43.57423901163759
30 5292 0.0 49.51743030283322
t 31 209.7907299191572 0.0
31 22594 0.0 9.652232680601614
31 13819 0.0 44.5715796532728
31 19771 0.0 47.64360421760631
s 32 0.0 12.378273946512916
t 32 13.105794991847944 0.0
32 2836 0.0 10.04530457709205
s 33 0.0 7.986633475750984
t 33 114.96846477443938 0.0
33 156 0.0 29.75686701988494
33 7852 0.0 32.702035767939535
s 34 0.0 10.33526633308863
t 34 100.26989336575971 0.0
34 21077 0.0 20.959763241748384
34 38 0.0 19.552477399628263
s 35 0.0 10.445235802636516
t 35 42.87880870358566 0.0
35 1298 0.0 12.365035492029284
35 21951 0.0 8.297351180541263
s 36 0.0 3.7808449687580445
t 36 10.9322610482724 0.0
36 1891 0.0 5.79431516004999
36 7629 0.0 6.717788365124409
t 37 487.08167651758777 0.0
37 15188 0.0 103.92306685499902
37 15159 0.0 16.61038256108661
37 9101 0.0 90.6962002466687
s 38 0.0 10.33526633258517
t 38 100.26989335993136 0.0
38 19596 0.0 23.214705041096785
