id1,id2,length
1,4138,12.60844434197707
1,4311,5.17002017593486
1,504,2.6059816090098287
1,3091,2.605981608551637
1,545,10.070853213265636
1,2225,8.07264087567615
1,942,5.592055946152976
4138,4074,9.264366807197039
4311,4074,15.366219953257898
4311,3235,11.499171747324631
4074,1917,24.605299509870655
942,3119,84.04496936278906
942,3838,89.18426283051915
3838,0,458.69507907340676
3838,2401,369.912706186913
1917,2401,279.0281034931824
1917,2390,258.6734326101894
2401,937,101.360800292701
504,2822,4.239516943818781
504,3091,2.453204407911273
2822,3235,7.954523494590168
2822,3461,5.624959566909599
3235,312,10.878150171440863
312,2464,8.740733675544847
312,1228,4.829796573448364
312,3854,4.167817075164769
312,1773,10.878122768868218
312,3603,9.150919233990662
312,1571,2.573722165218033
2390,3376,208.19795994487595
2390,4087,60.711982549583354
4087,4347,54.33338086150163
4087,2464,6.480858858620799
2225,2146,12.137822834799703
2225,3969,11.157812887541558
3969,255,6.701855069453407
3969,3119,17.709897374899985
3119,1547,69.65378588278072
66,1325,3.8520760790941964
66,1005,2.326955535908495
66,1346,3.8520760790941964
66,3486,2.326955535908495
3486,3176,38.712306721111375
3486,0,40.994374072019156
1325,1547,37.236104229341024
1325,2383,33.90339401150913
1547,2725,39.60115252750902
2567,151,2.7359933916312813
2567,1471,50.98254521833496
2567,4371,52.6733181258014
151,937,6.324556097416402
151,1561,2.735993029713734
151,1972,6.32454610392959
937,3793,96.15101853155846
4371,76,3.248634333339034
4371,3376,55.86251707216202
3376,3359,159.03875698924114
4280,67,4.08677479262167
4280,3079,48.652679537453636
4280,2294,52.09167583558505
67,0,4.6508138708318825
67,4114,4.087145576085739
67,3011,4.657937012367134
2294,1839,24.8930054815207
2294,3793,72.88725867696402
3793,2515,29.547366573206453
3091,890,2.76499549949329
890,303,3.12690750411148
890,1556,2.659132145119482
303,3461,3.7486055542238295
303,561,2.5202227555396104
303,3248,6.253806214691204
303,3986,6.2688330854594
303,1556,3.126907503719134
3461,561,2.282081060006128
1571,3248,2.390551871360235
1571,561,1.7989079907782202
4347,177,3.409601916705371
4347,1672,51.0778444727941
177,1595,3.0061476329230996
177,2744,3.8525609380572634
177,3357,3.4085635189271035
177,3758,6.869783028209301
1595,2219,3.4276896910939154
1595,4077,1.6468554965505025
2219,3359,13.807939349050862
2219,367,11.908416731843406
3359,1731,146.4219303557349
1228,1672,32.18488192336828
1228,1397,27.936178055277075
1672,3393,20.48817739677018
545,3468,7.137150970349609
3468,1556,5.104103103325398
3468,1029,7.3011380875459535
1029,3986,11.465727180640771
1029,2146,12.96925934854961
2146,255,12.038504944875175
255,4082,3.8868395510012013
255,3369,2.815002003152941
255,4222,12.038500824889416
4222,543,8.753556515264597
4222,2725,15.973566235563723
2725,454,35.44513097056704
1005,4044,19.765225705690728
1005,1495,18.853870962702256
2383,57,5.530670985280729
2383,2313,30.90600488257468
2313,3788,16.668712239601003
2313,4044,23.385995444822132
4044,3431,7.552502263271875
1346,496,26.209268276292732
1346,3176,27.056602843178165
3176,4145,19.752418987186875
57,454,3.876658969685368
57,637,11.896151696629959
57,3689,15.172147440129109
57,2833,11.896228247234362
57,4038,13.508495960681685
454,637,33.665978484524096
382,3819,14.48889224972927
382,2222,3.352356577574492
382,4033,6.845528561554848
382,3796,10.205642358550675
382,3385,18.727632113648415
382,3706,4.24548185227431
382,3530,8.210289298957633
382,2801,5.461543167584971
382,0,17.938998497139877
4145,2472,10.691254182765512
4145,3819,11.836687991467425
1972,2753,6.345075452272381
1972,4503,9.656839311968017
1229,4503,26.896941397871263
1229,1361,24.723290416670945
1229,1471,43.49664629588189
1471,3220,11.639382013056334
4503,1910,23.71419285483398
1561,2787,9.053021122005777
1561,2753,6.6792983455777195
2787,2515,27.556503031555383
2787,1181,23.15515135421389
2515,95,8.128308509733575
76,1850,2.7253218371409216
76,1826,3.248634333339034
76,1100,2.7253218371409216
3220,26,3.8012893507294825
3220,1850,8.13480171552999
1850,1335,6.519233075292124
1100,3677,17.972986168633046
1100,944,19.359058373915712
944,953,50.42398662791305
944,2385,67.22546013355758
2385,3152,40.420072761993346
2385,1478,98.07861242035021
1478,2245,39.05361000469318
1478,1731,133.99520493089608
1731,2852,14.00155914410624
3011,2300,40.45302382662787
3011,3655,41.36665098033171
3655,4058,28.67820889733915
3655,3079,46.39100051293964
3079,153,9.256498501776045
4114,3763,7.167458042401754
4114,2300,5.053879200956769
3763,0,6.654115226503477
3763,100,5.031347887836116
153,4511,13.556521186162866
153,2562,9.25427012174688
153,4484,13.567406505473913
4484,1900,12.791089374090939
4484,1839,19.239370457541224
1839,95,8.211854584153503
95,1900,8.128311359402415
95,1371,8.211844996728837
3603,1205,13.66350686504449
3603,3248,8.114411475375201
3758,1207,3.9191258639365234
3758,4263,9.031280065583623
2372,4263,10.787490748859296
2372,2455,8.392665449744623
2372,3393,16.633724679358256
3393,308,8.829642339369382
4263,1706,3.164836150954828
4077,367,3.8040503572782294
4077,2744,4.188089592189745
2744,3970,1.7560067433057993
367,2852,9.852255149737223
367,3174,11.909102925671613
367,3970,6.037103451812344
2852,3421,15.072646063799388
1112,1397,25.16233798403276
1112,3625,24.958995285995805
1112,3854,3.2181973421058374
1397,308,8.215892483182973
308,4256,8.213007501763306
308,3966,8.459616695915974
308,1990,7.442642428372819
308,1635,8.829628449003053
308,2883,7.430631396611335
308,3625,8.46877577045881
3986,4315,13.301954018199519
2991,4315,16.645798567527528
2991,240,14.676329209015686
2991,4082,4.165186966507135
4082,3369,1.497084089441406
